This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   163101
Number of nonzeros in inequality constraint Jacobian.:    35160
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    55874
                     variables with only lower bounds:    12874
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    44274
Total number of inequality constraints...............:    10052
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    10052

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  82  4.4260762e+02 2.30e-01 3.90e+00  -2.2 2.59e-01    -  1.00e+00 1.00e+00F  1
  83  4.3232934e+02 1.75e-01 4.40e+05  -2.9 4.10e-01    -  1.00e+00 1.56e-01f  1
  84  4.1402561e+02 1.50e-01 3.32e+05  -2.9 1.25e+00    -  1.00e+00 2.35e-01f  1
  85  4.4318214e+02 2.28e-01 1.46e+05  -1.9 5.95e-01    -  3.50e-01 2.71e-01f  1
  86  4.1964172e+02 1.69e-01 7.33e+04  -2.3 9.56e-01    -  8.15e-01 5.78e-01f  1
  87  4.1644508e+02 4.35e-01 6.62e+04  -2.3 2.16e+00    -  6.26e-01 1.57e-01f  1
  88  4.0564579e+02 2.40e-01 8.39e-01  -2.3 3.88e-01    -  1.00e+00 1.00e+00f  1
  89  3.9838920e+02 1.52e-01 5.91e+04  -2.4 8.56e-01    -  9.58e-01 3.98e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  3.8439470e+02 1.08e-01 2.41e+05  -2.9 1.05e+00    -  1.00e+00 3.07e-01f  1
  91  3.7741395e+02 1.27e-01 1.42e+05  -2.6 4.91e+00    -  6.05e-01 1.70e-01f  1
  92  3.8580130e+02 2.12e-01 6.06e+04  -1.9 1.10e+01    -  2.58e-01 8.22e-02f  1
  93  3.8439496e+02 2.08e-01 4.99e+04  -2.4 1.23e+01    -  9.80e-02 1.85e-02f  1
  94  3.8300662e+02 4.86e-01 4.23e+04  -2.4 1.24e+01    -  1.20e-01 9.22e-02f  1
  95  3.8089364e+02 4.76e-01 2.13e+04  -2.4 6.75e+00    -  2.49e-01 5.41e-02f  1
  96  3.7726126e+02 4.48e-01 1.62e+04  -2.4 1.57e+01    -  1.02e-01 4.50e-02f  1
  97  3.8269765e+02 8.19e-01 2.88e+04  -2.1 1.22e+01    -  1.46e-01 1.04e-01f  2
  98  3.7958226e+02 7.90e-01 4.92e+03  -2.4 6.47e+00    -  2.83e-01 8.12e-02f  3
  99  3.7632903e+02 5.54e-01 2.01e+04  -2.4 6.03e+00    -  4.85e-01 1.69e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  4.2818556e+02 4.41e-01 8.44e+04  -2.0 2.74e+00    -  3.20e-01 4.46e-01f  1
 101  4.0297246e+02 1.50e+00 3.05e+04  -2.3 8.68e-01    -  6.82e-01 6.59e-01f  1
 102  3.8049048e+02 2.02e+00 9.11e+03  -2.3 7.32e-01    -  3.17e-01 8.65e-01f  1
 103  3.9569228e+02 5.29e-01 3.30e+03  -2.3 8.88e-01    -  8.00e-01 1.00e+00H  1
 104  3.8187855e+02 2.22e+00 1.75e+00  -2.3 1.01e+00    -  1.00e+00 1.00e+00f  1
 105  3.8264600e+02 2.48e+00 1.94e+00  -2.3 1.17e+00    -  4.95e-01 2.94e-01h  2
 106  3.7731675e+02 6.47e-01 2.18e+00  -2.3 1.74e-01    -  1.00e+00 1.00e+00f  1
 107  3.5951683e+02 2.63e-01 5.54e+04  -2.6 1.35e-01    -  1.00e+00 7.80e-01f  1
 108  3.4862828e+02 1.50e-01 1.27e+05  -3.0 7.97e-02    -  1.00e+00 4.10e-01f  1
 109  3.3948282e+02 1.80e-01 3.22e+04  -2.8 2.00e-01    -  1.00e+00 5.53e-01f  1
