This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   115261
Number of nonzeros in inequality constraint Jacobian.:    24856
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    39498
                     variables with only lower bounds:     9102
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    31302
Total number of inequality constraints...............:     7108
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     7108

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 112  1.0975838e+02 7.50e-04 8.71e-02  -3.4 5.19e-02    -  1.00e+00 1.00e+00h  1
 113  1.0974124e+02 1.11e-04 9.63e-02  -3.4 1.86e-02    -  1.00e+00 1.00e+00h  1
 114  1.0700317e+02 3.00e-05 6.61e+03  -4.0 3.03e-02    -  1.00e+00 7.93e-01f  1
 115  1.0632620e+02 6.02e-04 1.13e+03  -4.0 1.66e-01    -  1.00e+00 8.45e-01f  1
 116  1.0827495e+02 3.34e-04 1.21e+04  -3.3 2.40e-01    -  6.95e-01 4.17e-01f  1
 117  1.0812860e+02 3.87e-04 7.82e+03  -3.6 4.81e-01    -  3.19e-01 1.75e-01f  1
 118  1.0801695e+02 5.43e-04 2.91e+03  -3.6 2.32e-01    -  5.93e-01 4.74e-01f  1
 119  1.0789007e+02 4.09e-04 5.74e+02  -3.6 5.50e-02    -  8.60e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.0774050e+02 3.69e-04 6.37e-02  -3.6 2.10e-02    -  1.00e+00 1.00e+00f  1
 121  1.0771717e+02 2.86e-05 8.39e-02  -3.6 2.77e-02    -  1.00e+00 1.00e+00h  1
 122  1.0673449e+02 2.19e-04 1.36e+02  -3.7 1.27e-01    -  9.84e-01 1.00e+00f  1
 123  1.1209560e+02 7.13e-03 7.83e+04  -2.5 3.46e+00    -  4.67e-01 1.71e-01f  1
 124  1.1215129e+02 6.29e-03 4.14e+04  -3.1 6.87e-01    -  4.98e-01 2.44e-01f  2
 125  1.1211495e+02 4.09e-03 2.85e+04  -3.1 6.40e-01    -  3.12e-01 3.12e-01f  1
 126  1.1216332e+02 2.13e-03 2.16e+03  -3.1 1.82e-01    -  1.00e+00 5.00e-01f  2
 127  1.1240296e+02 6.29e-04 2.41e+00  -3.1 1.32e-01    -  6.81e-01 1.00e+00h  1
 128  1.1233682e+02 4.15e-04 1.28e-01  -3.1 4.31e-02    -  1.00e+00 1.00e+00f  1
 129  1.1231791e+02 1.49e-04 5.82e-02  -3.1 3.26e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.1228602e+02 3.34e-05 3.40e-02  -3.1 1.00e-02    -  1.00e+00 1.00e+00h  1
 131  1.1227850e+02 4.13e-06 3.45e-02  -3.1 1.23e-02    -  1.00e+00 1.00e+00h  1
 132  1.0764527e+02 4.24e-04 5.68e+03  -4.0 1.82e-01    -  6.02e-01 6.94e-01f  1
 133  1.0750661e+02 4.41e-04 3.17e+03  -3.6 3.20e-01    -  1.00e+00 2.50e-01f  3
 134  1.0729896e+02 3.63e-04 1.59e+03  -3.6 1.72e-01    -  1.00e+00 5.00e-01f  2
 135  1.0720934e+02 3.09e-04 7.93e+02  -3.6 9.05e-02    -  1.00e+00 5.00e-01h  2
 136  1.0707350e+02 1.39e-04 1.91e-01  -3.6 2.27e-02    -  1.00e+00 1.00e+00h  1
