This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    20101
Number of nonzeros in inequality constraint Jacobian.:     4360
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6924
                     variables with only lower bounds:     1599
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5499
Total number of inequality constraints...............:     1252
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1252

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  85  1.3726275e+02 1.57e-03 5.12e+00  -3.9 2.60e-01    -  5.08e-01 2.63e-01f  1
  86  1.3691729e+02 1.10e-03 1.10e+03  -3.9 1.53e-01    -  1.00e+00 5.00e-01f  2
  87  1.3670027e+02 6.52e-04 6.91e+02  -3.9 1.90e-01    -  1.50e-01 3.70e-01f  1
  88  1.3665852e+02 1.63e-04 2.67e+00  -3.9 2.73e-02    -  6.15e-01 1.00e+00f  1
  89  1.3668852e+02 7.62e-07 1.37e+00  -3.9 1.41e-01    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.3830473e+02 1.32e-03 3.31e+03  -3.4 1.76e-01    -  1.00e+00 8.86e-01f  1
  91  1.3762301e+02 2.18e-03 7.23e+03  -3.5 1.50e-01    -  3.03e-01 1.00e+00f  1
  92  1.3758161e+02 1.53e-03 4.23e+03  -3.5 2.94e-01    -  4.15e-01 2.34e-01h  1
  93  1.3751940e+02 1.14e-03 2.77e+03  -3.5 1.72e-01    -  3.43e-01 1.99e-01f  2
  94  1.3745030e+02 3.29e-04 1.91e+03  -3.5 1.43e-01    -  3.11e-01 9.97e-01h  1
  95  1.3744252e+02 3.26e-04 1.47e+03  -3.5 7.02e-01    -  2.30e-01 1.99e-02f  4
  96  1.3743146e+02 4.45e-05 3.64e-01  -3.5 1.64e-02    -  1.00e+00 1.00e+00h  1
  97  1.3742161e+02 2.40e-05 1.75e-01  -3.5 1.32e-02    -  1.00e+00 1.00e+00h  1
  98  1.3740925e+02 2.21e-05 1.93e-01  -3.5 3.26e-02    -  1.00e+00 1.00e+00h  1
  99  1.3740602e+02 5.01e-05 4.65e+00  -3.5 7.28e-01    -  7.06e-01 6.25e-02f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.3739931e+02 9.98e-05 2.54e+00  -3.5 8.04e-01    -  1.00e+00 6.32e-02h  4
 101  1.3737124e+02 4.63e-04 2.95e+00  -3.5 1.33e+00    -  4.99e-01 2.07e-01f  2
 102  1.3734520e+02 5.46e-04 3.92e+00  -3.5 4.36e+00    -  2.62e-01 3.47e-02f  3
 103  1.3731472e+02 7.89e-04 4.61e+00  -3.5 4.59e+00    -  1.78e-01 4.30e-02f  3
 104  1.3729853e+02 8.06e-04 4.98e+00  -3.5 3.12e+00    -  2.63e-01 2.78e-02h  4
 105  1.3729315e+02 7.57e-04 6.33e+00  -3.5 5.71e-01    -  7.50e-01 9.92e-02h  3
 106  1.3728830e+02 8.23e-04 7.47e+00  -3.5 8.99e-01    -  8.54e-01 1.67e-01h  3
 107  1.3730039e+02 8.25e-04 7.68e+00  -3.5 1.08e+00    -  5.14e-01 6.14e-02h  4
 108  1.3730477e+02 2.77e-04 2.30e+00  -3.5 5.13e-02    -  1.00e+00 1.00e+00h  1
 109  1.3726382e+02 3.14e-04 1.85e+00  -3.5 1.17e-01    -  4.30e-01 5.40e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.3723849e+02 4.89e-04 2.75e+00  -3.5 3.83e-01    -  5.93e-01 3.57e-01f  2
 111  1.3721344e+02 4.99e-04 3.02e+00  -3.5 3.36e-01    -  7.08e-01 4.39e-01f  2
 112  1.3716209e+02 4.06e-04 8.88e+00  -3.5 1.89e-01    -  7.46e-01 1.56e-01h  3
 113  1.3710763e+02 1.21e-04 1.76e+00  -3.5 5.50e-02    -  6.71e-01 1.00e+00h  1
 114  1.3712482e+02 1.31e-04 1.66e+00  -3.5 5.16e-02    -  1.00e+00 6.80e-01H  1
 115  1.3710379e+02 2.45e-04 7.82e-01  -3.5 3.40e-02    -  1.00e+00 1.00e+00f  1
 116  1.3704050e+02 1.59e-04 8.87e-01  -3.5 5.33e-02    -  1.00e+00 1.00e+00h  1
 117  1.3702020e+02 2.77e-04 2.37e+00  -3.5 2.08e-01    -  5.43e-01 5.20e-01h  1
 118  1.3695863e+02 3.21e-04 4.11e+00  -3.5 1.07e+00    -  1.81e-01 7.65e-02f  1
 119  1.3691834e+02 8.78e-04 8.36e+00  -3.5 2.58e+00    -  1.76e-01 8.68e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.3685992e+02 1.02e-03 3.06e+00  -3.5 1.22e+00    -  7.82e-01 1.21e-01f  3
 121  1.3671894e+02 1.54e-03 6.86e+00  -3.5 7.28e-01    -  8.36e-01 3.99e-01f  1
 122  1.3654675e+02 1.57e-03 4.98e+00  -3.5 7.84e-01    -  2.74e-01 2.74e-01f  1
 123  1.3624569e+02 8.22e-04 1.75e+02  -3.7 2.50e-01    -  5.15e-01 5.00e-01f  2
 124  1.3720138e+02 5.16e-04 3.54e+04  -3.1 2.54e-01    -  1.00e+00 3.59e-01f  1
 125  1.3722738e+02 1.48e-03 1.16e+04  -3.3 1.97e-01    -  6.70e-01 1.00e+00f  1
 126  1.3712712e+02 1.15e-03 6.33e+03  -3.3 1.98e-01    -  4.53e-01 4.10e-01h  2
 127  1.3711817e+02 6.04e-04 1.34e+00  -3.3 1.15e-01    -  1.00e+00 1.00e+00h  1
 128  1.3701126e+02 1.76e-04 1.57e-01  -3.3 8.94e-02    -  9.97e-01 1.00e+00h  1
 129  1.3715897e+02 1.99e-06 4.65e-01  -3.3 3.08e-02    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.3700114e+02 3.04e-04 9.49e-02  -3.3 3.41e-02    -  1.00e+00 1.00e+00f  1
 131  1.3699871e+02 7.73e-06 9.10e-02  -3.3 5.81e-03    -  1.00e+00 1.00e+00h  1
 132  1.3698635e+02 2.05e-05 5.54e-01  -3.3 2.69e-02    -  1.00e+00 1.00e+00h  1
 133  1.3693510e+02 3.88e-04 2.56e+00  -3.3 3.15e-01    -  3.55e-01 4.06e-01f  1
 134  1.3691930e+02 1.41e-03 2.61e+00  -3.3 4.01e+00    -  9.09e-02 5.73e-02f  2
 135  1.3688775e+02 1.83e-03 1.50e+01  -3.3 2.91e+00    -  2.77e-01 5.78e-02f  2
 136  1.3687611e+02 1.87e-03 1.51e+01  -3.3 1.87e+00    -  2.71e-01 3.72e-02h  4
 137  1.3687191e+02 1.79e-03 4.40e+00  -3.3 6.50e-01    -  7.83e-01 8.60e-02h  4
 138  1.3726557e+02 2.01e-06 3.13e+00  -3.3 1.05e-01    -  1.00e+00 1.00e+00H  1
 139  1.3679653e+02 1.76e-03 2.52e+00  -3.3 2.04e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
