This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    19061
Number of nonzeros in inequality constraint Jacobian.:     9464
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6568
                     variables with only lower bounds:     1517
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5217
Total number of inequality constraints...............:     1796
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1796

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  91  3.7697115e+02 6.23e-05 1.88e+00  -2.0 3.12e-02    -  1.00e+00 1.00e+00f  1
  92  3.5913330e+02 1.77e-04 6.03e+04  -2.3 8.05e-02    -  9.97e-01 8.87e-01f  1
  93  3.5759945e+02 1.54e-04 7.01e+04  -2.4 9.60e-02    -  8.16e-01 2.06e-01f  2
  94  3.5475496e+02 9.09e-05 1.13e+05  -2.5 4.12e-02    -  1.00e+00 4.17e-01f  1
  95  3.5680089e+02 1.62e-04 4.61e+04  -2.2 2.03e-01    -  7.72e-01 4.22e-01f  1
  96  3.5562899e+02 2.37e-04 6.41e+03  -2.4 2.22e-01    -  5.98e-01 2.57e-01f  2
  97  3.5304022e+02 1.04e-04 2.99e+03  -2.4 6.22e-02    -  3.50e-01 4.82e-01f  1
  98  3.6685568e+02 1.45e-04 1.33e+04  -2.1 7.84e-02    -  9.64e-01 1.00e+00f  1
  99  3.6492864e+02 1.10e-04 1.01e+05  -2.2 6.32e-02    -  8.60e-01 2.50e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  3.5933768e+02 5.97e-05 1.57e+00  -2.2 3.25e-02    -  1.00e+00 1.00e+00f  1
 101  3.5855231e+02 4.97e-05 9.45e+04  -2.2 7.94e-02    -  9.96e-01 1.06e-01f  4
 102  3.4832633e+02 8.50e-05 7.48e+04  -2.5 8.19e-02    -  1.00e+00 7.82e-01f  1
 103  3.7118263e+02 4.04e-04 2.34e+05  -2.0 2.53e-01    -  8.83e-01 5.46e-01f  1
 104  3.6831144e+02 1.95e-04 2.13e+05  -2.1 8.93e-02    -  2.24e-01 1.00e+00h  1
 105  3.6307105e+02 1.97e-04 1.31e+05  -2.1 1.48e-01    -  3.86e-01 3.33e-01f  1
 106  3.6097082e+02 2.15e-04 7.18e+03  -2.1 6.14e-02    -  9.45e-01 1.00e+00f  1
 107  3.5988840e+02 1.47e-04 3.34e+00  -2.1 4.22e-02    -  1.00e+00 7.48e-01f  1
 108  3.6000818e+02 1.19e-04 4.70e+00  -2.1 5.40e-02    -  1.00e+00 2.50e-01f  3
 109  3.5314341e+02 8.41e-05 3.95e+00  -2.3 5.24e-02    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  3.4449474e+02 2.45e-04 9.95e+04  -2.6 1.18e-01    -  1.00e+00 6.81e-01f  1
 111  3.5233477e+02 3.00e-04 2.97e+05  -2.0 2.38e-01    -  7.85e-01 3.30e-01f  1
 112  3.6927056e+02 2.43e-04 7.50e+04  -2.2 1.57e-01    -  7.55e-01 6.45e-01H  1
 113  3.5300235e+02 6.08e-04 5.55e+04  -2.2 7.48e-02    -  1.77e-01 1.00e+00f  1
 114  3.5310677e+02 1.94e-06 7.06e-01  -2.2 6.97e-03    -  1.00e+00 1.00e+00f  1
 115  3.4455275e+02 6.37e-05 9.35e+02  -2.4 5.67e-02    -  9.96e-01 1.00e+00f  1
 116  3.4968450e+02 9.78e-05 1.86e+05  -2.2 1.33e-01    -  9.59e-01 3.34e-01f  2
 117  3.4814006e+02 6.48e-05 8.52e+03  -2.3 3.09e-02    -  9.29e-01 5.00e-01f  2
 118  3.4545597e+02 5.41e-05 8.73e+04  -2.5 5.62e-02    -  1.00e+00 3.70e-01f  1
 119  3.4037386e+02 5.56e-05 1.10e+05  -2.8 9.23e-02    -  1.00e+00 5.19e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.4106570e+02 6.29e-05 1.07e+05  -2.4 1.18e-01    -  1.00e+00 1.25e-01f  4
 121  3.3483652e+02 7.97e-05 9.35e+03  -2.8 7.30e-02    -  9.40e-01 9.61e-01f  1
 122  3.3423855e+02 1.20e-04 7.98e+03  -2.8 6.46e-01    -  1.57e-01 7.55e-02f  2
 123  3.3795119e+02 1.93e-04 3.27e+04  -2.3 3.95e-01    -  2.57e-01 1.83e-01f  1
 124  3.3694745e+02 1.44e-04 1.28e+04  -2.7 1.13e-01    -  8.37e-01 2.64e-01f  2
 125  3.3640472e+02 9.89e-05 1.11e+04  -2.7 1.23e-01    -  3.85e-01 2.49e-01f  1
 126  3.3423662e+02 5.85e-05 9.26e+02  -2.7 4.13e-02    -  6.75e-01 8.28e-01f  1
 127  3.3303120e+02 3.98e-05 5.63e+04  -2.9 4.69e-02    -  1.00e+00 3.25e-01f  1
 128  3.3587340e+02 1.11e-04 6.78e+04  -2.5 8.18e-02    -  8.48e-01 3.39e-01f  1
 129  3.3433103e+02 2.75e-05 1.49e+04  -2.7 2.53e-02    -  8.14e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  3.3185510e+02 3.82e-05 5.66e+04  -3.0 2.27e-02    -  1.00e+00 5.20e-01f  1
 131  3.3701631e+02 1.06e-04 6.49e+04  -2.6 6.07e-02    -  6.29e-01 9.94e-01f  1
 132  3.3555732e+02 7.79e-05 5.56e+04  -2.7 3.59e-02    -  1.00e+00 3.10e-01f  1
 133  3.3510521e+02 7.10e-05 4.97e+04  -2.7 1.38e-01    -  3.80e-01 1.06e-01f  3
 134  3.3391329e+02 4.87e-05 2.61e+04  -2.7 3.49e-02    -  1.00e+00 4.74e-01f  1
 135  3.3345415e+02 4.36e-05 2.04e+04  -2.7 1.24e-01    -  2.85e-01 2.18e-01f  2
 136  3.3319421e+02 3.31e-05 1.53e+04  -2.7 4.13e-02    -  1.00e+00 2.50e-01f  3
 137  3.3271625e+02 8.25e-06 8.81e-01  -2.7 1.21e-02    -  1.00e+00 1.00e+00f  1
 138  3.3115734e+02 8.88e-06 1.40e+04  -2.9 2.38e-02    -  9.99e-01 7.44e-01f  1
 139  3.3589970e+02 2.87e-04 1.63e+04  -2.5 1.53e-01    -  5.74e-01 4.48e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  3.3254165e+02 4.08e-05 1.80e+04  -2.7 2.50e-02    -  6.58e-01 1.00e+00f  1
 141  3.3220538e+02 2.86e-05 1.04e+01  -2.7 2.27e-02    -  1.00e+00 3.49e-01f  2
 142  3.3206377e+02 9.26e-06 1.40e+00  -2.7 2.14e-02    -  1.00e+00 1.00e+00f  1
 143  3.3208779e+02 1.26e-05 1.87e+01  -2.7 4.19e-02    -  8.85e-01 9.18e-01f  1
 144  3.3176158e+02 2.24e-05 1.29e+04  -2.8 1.19e-01    -  5.75e-01 2.42e-01f  2
 145  3.3151041e+02 2.14e-05 2.31e+04  -2.8 1.10e-01    -  8.71e-01 1.38e-01f  3
 146  3.3090488e+02 2.62e-05 9.49e+03  -2.8 4.51e-02    -  4.80e-01 5.81e-01f  1
 147  3.3502509e+02 8.66e-05 6.94e+04  -2.5 4.00e-02    -  4.81e-01 1.00e+00f  1
 148  3.3167223e+02 2.70e-05 8.66e-01  -2.7 2.52e-02    -  1.00e+00 1.00e+00f  1
 149  3.3128107e+02 1.62e-05 6.55e-01  -2.7 2.91e-02    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  3.3125518e+02 2.19e-05 3.42e+00  -2.7 1.94e-01    -  4.04e-01 1.54e-01f  2
 151  3.3105604e+02 4.01e-05 7.88e+00  -2.7 2.89e-01    -  2.87e-01 1.05e-01f  2
 152  3.3097167e+02 8.70e-05 5.81e+00  -2.7 3.35e-01    -  2.92e-01 2.72e-01f  1
 153  3.3079714e+02 8.24e-05 8.65e+00  -2.7 5.04e-01    -  1.73e-01 3.44e-02f  3
 154  3.3045551e+02 7.20e-05 2.13e+04  -2.8 1.02e-01    -  9.67e-01 1.90e-01f  3
 155  3.3311946e+02 9.69e-05 7.42e+01  -2.4 1.20e-01    -  4.51e-01 3.95e-01f  1
 156  3.3255989e+02 8.62e-05 7.52e+03  -2.7 1.79e-01    -  4.02e-01 2.61e-01f  2
 157  3.3157684e+02 4.97e-05 7.14e+03  -2.7 1.49e-01    -  4.16e-01 3.47e-01f  1
 158  3.3056424e+02 8.46e-05 7.00e+03  -2.7 4.93e-02    -  9.24e-01 6.75e-01f  1
 159  3.4331264e+02 3.57e-04 1.64e+05  -2.2 8.82e-02    -  3.55e-01 7.04e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  3.4032017e+02 2.64e-04 1.32e+05  -2.4 5.15e-02    -  7.50e-01 2.61e-01f  1
 161  3.3512323e+02 1.35e-04 4.21e+04  -2.4 5.01e-02    -  8.62e-01 6.87e-01f  1
 162  3.3437234e+02 9.58e-05 2.65e+04  -2.4 4.27e-02    -  1.00e+00 3.82e-01f  1
 163  3.3402710e+02 3.45e-05 4.69e+03  -2.4 8.72e-02    -  9.58e-01 8.23e-01F  1
 164  3.3321808e+02 3.38e-04 2.97e+03  -2.4 3.38e-01    -  4.00e-01 3.67e-01f  1
 165  3.3203296e+02 5.37e-04 2.71e+03  -2.4 1.30e+00    -  2.43e-01 8.71e-02f  2
 166  3.3030582e+02 7.43e-04 2.33e+03  -2.4 7.90e-01    -  4.77e-01 1.42e-01f  2
 167  3.3017890e+02 4.67e-04 2.04e+03  -2.4 2.59e-01    -  8.05e-01 4.77e-01h  1
 168  3.2610154e+02 4.05e-04 2.26e+04  -2.7 1.68e-01    -  4.82e-01 3.51e-01f  1
 169  3.2555428e+02 2.77e-04 2.19e+01  -2.3 8.74e-02    -  3.82e-01 3.20e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  3.2114844e+02 1.83e-04 1.10e+04  -2.7 1.47e-01    -  5.50e-01 4.91e-01f  1
 171  3.1915146e+02 1.51e-04 5.68e+04  -2.8 1.24e-01    -  6.35e-01 1.80e-01f  1
