This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:    12536
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     2372
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     2372

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 168  7.5416299e+01 4.28e-03 6.98e+03  -2.9 9.21e-01    -  9.36e-02 7.56e-02f  1
 169  7.3982650e+01 4.65e-03 6.21e+03  -2.8 3.89e-01    -  8.83e-02 1.50e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.1516086e+02 3.47e-03 2.24e+05  -2.2 3.52e-01    -  2.33e-01 7.54e-01H  1
 171  9.3059457e+01 2.79e-03 1.32e+05  -2.5 1.76e-01    -  2.83e-01 4.47e-01f  1
 172  8.8631460e+01 2.25e-03 1.23e+05  -2.5 1.18e+00    -  7.46e-02 6.44e-02f  1
 173  7.9840009e+01 6.40e-04 1.90e+04  -2.5 1.16e-01    -  3.79e-01 1.00e+00f  1
 174  7.9441303e+01 6.63e-04 1.48e+04  -2.5 4.50e-01    -  2.24e-01 3.51e-02f  3
 175  7.9111100e+01 3.54e-04 1.14e+04  -2.5 4.46e-02    -  2.25e-01 5.00e-01f  2
 176  7.8943673e+01 2.80e-04 3.54e+03  -2.5 6.19e-02    -  6.90e-01 5.00e-01f  2
 177  7.4197067e+01 7.36e-04 5.55e+00  -2.7 5.09e-02    -  1.00e+00 1.00e+00f  1
 178  6.9949936e+01 6.15e-04 1.24e+04  -4.0 1.89e-01    -  3.33e-01 3.97e-01f  1
 179  7.1208010e+01 4.94e-04 9.78e+04  -2.0 1.13e+00    -  1.44e-01 4.08e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  8.1298216e+01 7.33e-04 1.47e+05  -1.7 1.39e+00    -  1.41e-01 1.02e-01f  1
 181  7.9170225e+01 3.21e-03 1.09e+05  -2.5 1.85e-01    -  2.92e-01 7.54e-01f  1
 182  7.8184928e+01 2.90e-03 9.44e+04  -2.5 5.65e-01    -  1.35e-01 9.86e-02f  1
 183  7.8140800e+01 2.96e-03 8.08e+04  -2.5 2.99e-01    -  1.44e-01 1.13e-01f  1
 184  7.9798215e+01 2.05e-04 7.27e+04  -2.5 7.08e-02    -  1.23e-01 1.00e+00H  1
 185  7.6222039e+01 5.18e-03 5.33e+03  -2.5 6.26e-02    -  9.27e-01 1.00e+00f  1
 186  7.5805670e+01 4.77e-03 3.76e+03  -2.5 1.06e-01    -  2.95e-01 7.91e-02f  1
 187  7.6807010e+01 2.45e-03 1.73e+03  -2.5 5.01e-01    -  5.39e-01 4.73e-01h  1
 188  7.6698376e+01 2.51e-03 1.41e+03  -2.5 3.36e+00    -  1.88e-01 1.56e-02f  3
 189  7.6868289e+01 2.35e-03 1.08e+03  -2.5 7.57e-01    -  2.32e-01 9.90e-02h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  7.6680664e+01 2.52e-03 9.68e+02  -2.5 1.82e+00    -  1.05e-01 3.83e-02f  3
 191  7.5680051e+01 2.60e-03 8.33e+02  -2.5 1.48e+00    -  1.39e-01 6.45e-02f  2
 192  7.5392172e+01 2.94e-03 7.73e+02  -2.5 9.12e-01    -  7.21e-02 5.00e-02f  2
 193  7.4660781e+01 2.59e-03 1.23e+02  -2.5 4.63e-01    -  8.40e-01 1.84e-01f  1
 194  7.5401489e+01 3.01e-03 8.95e+01  -2.5 8.47e-01    -  2.74e-01 1.13e-01h  1
 195  7.5328463e+01 2.99e-03 5.42e+01  -2.5 2.54e-01    -  3.95e-01 5.26e-02f  5
 196  7.4086668e+01 1.76e-03 5.08e+01  -2.5 1.21e-01    -  6.18e-02 1.00e+00f  1
 197  7.4014397e+01 1.77e-03 4.15e+01  -2.5 9.40e-01    -  1.83e-01 2.72e-02f  3
 198  7.4782204e+01 1.55e-03 2.43e+01  -2.5 1.41e-01    -  4.15e-01 1.89e-01h  1
 199  7.3918977e+01 4.18e-04 4.31e+00  -2.5 9.65e-02    -  8.23e-01 7.98e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  7.3891151e+01 4.25e-04 3.56e+00  -2.5 3.12e-01    -  3.39e-01 6.95e-02f  3
 201  7.3847628e+01 2.06e-04 2.28e+00  -2.5 2.84e-02    -  5.87e-01 1.00e+00f  1
 202  8.1241984e+01 4.42e-04 2.37e+05  -2.1 1.44e-01    -  9.37e-01 3.61e-01f  1
 203  8.1203846e+01 4.24e-04 1.30e+05  -2.3 6.08e-01    -  4.41e-01 3.39e-02f  5
 204  8.1142534e+01 3.99e-04 2.25e+03  -2.3 8.31e-02    -  9.48e-01 9.70e-02f  4
 205  8.0748850e+01 9.93e-04 3.29e+03  -2.3 2.73e-01    -  1.92e-01 5.00e-01f  2
 206  8.0651169e+01 7.54e-04 1.91e+03  -2.3 2.04e-01    -  1.00e+00 1.98e-01f  2
