This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    14232
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 115  1.6004823e+03 8.05e-04 6.85e+05  -2.6 1.13e-01    -  1.00e+00 4.26e-01f  1
 116  1.6057047e+03 4.80e-04 1.84e+04  -1.9 7.91e-02    -  7.64e-01 3.82e-01f  1
 117  1.5948211e+03 2.80e-04 2.53e+05  -2.3 8.99e-02    -  8.66e-01 4.13e-01f  1
 118  1.5876855e+03 9.35e-04 8.14e+04  -2.1 3.95e-01    -  1.00e+00 4.99e-01f  1
 119  1.6025224e+03 1.72e-03 1.57e+05  -1.8 1.00e+00    -  4.67e-01 2.59e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.5973814e+03 1.44e-03 2.91e+04  -2.0 7.64e-01    -  7.10e-01 2.17e-01f  1
 121  1.5939511e+03 1.55e-03 4.54e+04  -2.0 1.27e+00    -  2.93e-01 8.25e-02f  3
 122  1.5912770e+03 1.34e-03 5.25e+04  -2.0 3.30e-01    -  3.85e-01 1.59e-01f  3
 123  1.5966277e+03 2.81e-04 5.94e+03  -2.0 3.14e-01    -  9.46e-01 9.12e-01H  1
 124  1.5905783e+03 2.35e-04 6.24e+04  -2.2 1.20e-01    -  4.56e-01 1.61e-01f  1
 125  1.5809787e+03 2.19e-04 4.78e+04  -2.3 5.42e-02    -  3.36e-01 3.17e-01f  1
 126  1.5681473e+03 2.82e-04 1.61e+05  -2.4 1.26e-01    -  1.00e+00 5.81e-01f  1
 127  1.5624026e+03 3.60e-04 1.02e+04  -2.3 1.27e-01    -  8.60e-01 1.00e+00f  1
 128  1.5688538e+03 1.09e-03 3.31e+04  -2.1 3.37e-01    -  5.40e-01 4.29e-01f  2
 129  1.5657845e+03 5.72e-04 3.91e+04  -2.3 1.33e-01    -  8.00e-01 3.72e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.5631682e+03 5.87e-04 2.11e+04  -2.3 5.52e-02    -  8.25e-01 6.11e-01f  1
 131  1.5607802e+03 1.31e-04 2.57e+03  -2.3 1.74e-02    -  4.75e-01 1.00e+00f  1
 132  1.5533040e+03 8.39e-05 2.03e+05  -3.0 1.12e-01    -  1.00e+00 4.68e-01f  1
 133  1.5538160e+03 1.31e-04 4.00e+02  -2.1 1.50e+00    -  3.49e-01 4.58e-02f  1
 134  1.5499637e+03 4.44e-04 1.19e+04  -2.6 4.55e-01    -  5.85e-01 3.93e-01f  1
 135  1.5522943e+03 1.68e-03 2.66e+04  -2.0 3.94e+00    -  1.50e-01 1.04e-01f  1
 136  1.5521470e+03 1.71e-03 1.55e+04  -2.5 3.65e+00    -  1.52e-01 4.38e-02f  2
 137  1.5508575e+03 1.61e-03 1.32e+04  -2.5 1.43e+00    -  5.38e-01 2.11e-01f  1
 138  1.5480692e+03 2.11e-03 1.42e+04  -2.5 4.52e+00    -  1.22e-01 6.91e-02f  1
 139  1.5764597e+03 3.80e-03 3.26e+04  -1.8 1.74e+00    -  2.82e-01 2.48e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.5742330e+03 5.10e-03 3.65e+03  -2.2 1.41e+00    -  4.04e-01 2.07e-01f  1
 141  1.5644767e+03 4.21e-03 4.35e+02  -2.2 3.85e-01    -  1.22e-01 1.51e-01f  1
 142  1.5571983e+03 3.52e-03 5.78e+03  -2.2 3.32e-01    -  1.68e-01 2.46e-01f  1
 143  1.5616065e+03 4.16e-03 1.21e+04  -2.2 3.74e-01    -  3.22e-01 4.60e-01h  1
 144  1.5534235e+03 2.59e-03 1.01e+04  -2.2 6.19e-02    -  4.37e-01 5.38e-01f  1
 145  1.5501128e+03 1.60e-03 6.21e+03  -2.2 1.61e-01    -  4.27e-01 4.56e-01f  1
 146  1.5510918e+03 8.33e-04 3.58e+03  -2.2 1.77e-01    -  5.76e-01 6.93e-01h  1
 147  1.5489773e+03 5.46e-04 1.20e+03  -2.2 5.18e-02    -  8.02e-01 1.00e+00f  1
 148  1.5398314e+03 4.70e-04 8.42e+04  -2.7 3.70e-02    -  7.82e-01 5.60e-01f  1
 149  1.5351005e+03 2.42e-04 1.08e+05  -2.8 3.91e-02    -  1.00e+00 4.74e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.5323140e+03 1.41e-04 4.22e+04  -2.7 6.79e-02    -  9.37e-01 4.30e-01f  1
 151  1.5306851e+03 2.77e-04 2.60e+04  -2.7 4.16e-01    -  4.82e-01 2.82e-01f  1
 152  1.5323704e+03 5.31e-04 1.07e+03  -2.3 6.65e-01    -  2.85e-01 2.10e-01f  1
 153  1.5310368e+03 6.76e-04 6.98e+03  -2.7 7.01e-01    -  1.21e-01 2.34e-01f  1
 154  1.5292708e+03 9.74e-04 8.51e+03  -2.7 7.06e-01    -  4.91e-01 1.97e-01f  1
 155  1.5289429e+03 9.63e-04 2.68e+04  -4.0 6.27e-01    -  8.90e-02 1.11e-02f  1
 156  1.5471494e+03 1.46e-03 2.62e+05  -2.1 3.79e-01    -  1.11e-01 6.00e-01f  1
 157  1.5440737e+03 1.29e-03 2.03e+05  -2.5 1.35e-01    -  6.58e-01 1.17e-01f  1
 158  1.5373254e+03 9.00e-04 1.40e+05  -2.5 1.51e-01    -  3.79e-01 3.02e-01f  1
 159  1.5324199e+03 8.41e-04 3.73e+04  -2.5 1.12e-01    -  1.66e-01 7.84e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.5301781e+03 1.13e-03 1.02e+04  -2.5 9.14e-02    -  1.71e-01 9.14e-01f  1
 161  1.5244497e+03 5.94e-04 5.20e+04  -2.9 5.08e-02    -  2.18e-01 5.04e-01f  1
 162  1.5247829e+03 1.73e-04 4.67e+03  -2.6 2.34e-02    -  8.11e-01 1.00e+00f  1
 163  1.5204522e+03 8.88e-05 1.02e+05  -3.2 5.49e-02    -  1.00e+00 4.96e-01f  1
 164  1.5219816e+03 8.36e-05 3.40e+04  -2.6 1.54e-01    -  5.90e-01 5.00e-01f  2
 165  1.5211849e+03 7.81e-05 3.43e+04  -2.8 2.78e-01    -  3.82e-01 1.35e-01f  1
 166  1.5194803e+03 5.12e-04 2.74e+04  -2.8 9.65e-01    -  2.62e-01 2.17e-01f  1
 167  1.5238235e+03 8.32e-04 3.48e+04  -2.2 1.49e+00    -  2.82e-01 1.58e-01f  1
 168  1.5216423e+03 6.81e-04 8.62e+03  -2.7 5.04e-01    -  5.39e-01 3.43e-01f  1
 169  1.5207759e+03 9.91e-04 7.63e+03  -2.7 1.23e+00    -  1.23e-01 1.26e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.5199938e+03 9.52e-04 3.68e+03  -2.7 8.76e-01    -  2.01e-01 8.95e-02f  2
 171  1.5190478e+03 7.52e-04 7.18e+03  -2.7 3.90e-01    -  2.66e-01 4.92e-01f  1
 172  1.5186426e+03 6.59e-04 4.86e+03  -2.6 1.65e-01    -  4.12e-01 1.24e-01f  3
 173  1.5259743e+03 1.47e-04 1.15e+05  -2.4 6.25e-02    -  3.67e-01 1.00e+00f  1
 174  1.5235240e+03 1.36e-04 7.63e+04  -2.5 1.19e-01    -  1.00e+00 4.10e-01f  1
 175  1.5208365e+03 2.08e-04 2.53e+04  -2.5 1.94e-01    -  1.00e+00 6.68e-01f  1
 176  1.5201563e+03 4.50e-04 2.32e+04  -2.5 1.78e+00    -  2.39e-01 8.44e-02f  2
 177  1.5214194e+03 6.75e-04 1.04e+05  -2.2 1.84e+00    -  3.90e-01 7.28e-02f  1
 178  1.5206983e+03 7.07e-04 3.74e+04  -2.5 8.85e-01    -  5.10e-01 9.80e-02f  2
 179  1.5205679e+03 6.97e-04 1.32e+04  -2.5 4.48e-01    -  3.66e-01 1.50e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
